gc,length,umap_1,umap_2
41.225271218889596,6268,0.31060448,6.537939
40.093654125625704,6193,0.24620384,6.603578
40.372458568255595,5853,-0.4890283,6.808555
36.24078624078624,5698,-0.3460064,7.129714
46.26168224299065,5564,-0.59574455,7.429917
44.03515332834704,5348,-0.06220999,7.678451
46.00528562715999,4919,-0.23282725,6.9202433
40.42259990813046,4354,-0.802483,6.8568687
40.81924267682782,4199,-0.44513133,7.128893
40.78431372549019,3825,-0.56660366,6.985
36.38792412503339,3743,-0.7113945,7.2385693
45.56681443951868,3158,-0.38690135,6.572082
41.83408943616332,3086,-0.2837725,6.788085
41.549549549549546,2775,-0.599467,6.9106197
41.765765765765764,2775,-0.39931074,7.687799
36.111111111111114,2664,-0.47980735,6.8997498
47.72991850989523,2577,-0.16991784,7.5295157
36.78025851938895,2553,-0.5864551,7.2407575
38.88354898336414,27050,-0.29534996,7.2989755
42.9808702964053,23785,-0.37728736,7.2303605
40.66478076379067,22624,-0.04712776,7.1617217
43.828626282018895,19793,-0.4989695,7.6782207
42.31220956952459,19583,-0.26501593,7.299382
42.71186440677966,19470,-0.2919311,7.2990575
44.778304925906404,17073,0.06595433,7.052233
45.5527795128045,16010,0.16352737,7.17799
37.132931305715786,15256,0.099302985,7.219364
43.17325143096468,14326,0.07171081,7.4906344
42.676517632721456,13129,-0.34912103,7.5798965
37.25286989795919,12544,0.16201746,7.6566463
38.76579539553401,11554,0.3102486,7.3074536
46.40936686903729,11530,-0.27026024,7.151014
38.720800889877644,8990,0.16728207,7.5288773
46.902050113895214,8780,-0.50879765,7.6269636
42.809898506101035,8769,-0.14942238,7.266695
41.05585670516144,8486,-0.3769521,7.762058
40.327359954846905,7087,0.31178108,7.1703486
36.232727272727274,6875,-0.04630759,7.3733277
41.81232750689973,6522,-0.17140685,7.7936034
39.52753285642988,6011,-0.109936595,7.0584636
37.57983193277311,5950,-0.13081163,7.6923985
37.825933756166314,5676,-0.32747453,7.498419
37.89322308107136,5563,0.10856648,7.2364635
43.822463768115945,5520,-0.020486437,7.566927
41.15602707152003,5467,0.042571012,7.9794755
38.10051736881005,5412,-0.19793214,7.5090485
35.79513824457228,5389,-0.18681177,7.5461864
40.68778979907264,5176,-0.35532716,7.4829698
41.650589496248664,4665,-0.5127644,7.37451
39.490161001788906,4472,-0.21738623,6.756554
47.097958247304426,4359,-0.15267369,7.059087
38.03384367445609,3723,0.21746486,7.405222
41.224018475750576,3464,0.23772062,7.1934547
37.40985576923077,3328,0.049487006,7.4159083
40.998487140695914,3305,-0.012149305,7.3699803
46.47447030218826,2879,0.10076103,7.295996
40.35087719298246,2508,0.11616062,7.2866507
40.89309360771012,282434,-1.416755,4.9919286
44.5858623994424,137732,-0.53225356,4.462336
40.46117001080639,136956,-1.8033769,5.692778
41.746875023154836,134961,-1.5687035,5.6519513
41.47969408204163,122255,-1.7141585,6.2120733
40.801042272678856,122041,-1.5327544,6.3283396
40.62617219735427,119967,-1.6757339,7.299168
40.52376171352075,119520,-1.5314357,6.5540204
40.00375445841937,111867,-1.3919518,7.618109
44.613391643085514,108844,-0.94883966,5.9804373
40.12239856955889,108498,-1.0348297,7.7073126
42.17245042492918,282400,-1.6975874,6.9856133
45.607961921246215,103995,-1.4909782,5.899069
41.90250349867828,102896,-1.6896003,7.02094
46.27130758734216,92338,-1.1726544,7.375928
42.212445003142676,87505,-1.220948,7.487823
40.86799276672694,80185,-1.183204,7.6682496
42.12278633519452,77191,-1.4666762,6.396526
42.11094070858569,76942,-1.1674789,7.342226
43.43002843450053,74909,-1.3322122,7.0220118
41.85941539345361,73109,-1.1506311,7.486611
46.89516069230427,67427,-1.6166937,7.1331725
40.62181164648177,234251,-1.2169508,7.159129
43.8966178758629,66201,-1.2953142,7.45718
43.157977141067796,63870,-1.4446992,7.3441
42.744524002680684,56702,-1.4055922,6.459602
41.048457991711366,55739,-1.401884,6.9650187
41.41625860542435,55343,-1.2927531,6.3401575
